Price,Address,City,Beds,Baths,Square Feet
3650000,"4019 Channel Place, Newport Beach, CA 92663",Newport Beach,3.0,2.0,1465.0
544988,"965 S Idaho Street # 3, La Habra, CA 90631",La Habra,2.0,2.0,931.0
799900,"5487 Paseo Del Lago # A, Laguna Woods, CA 92637",Laguna Woods,2.0,2.0,1218.0
4998000,"7 S Vista De Catalina, Laguna Beach, CA 92651",Laguna Beach,3.0,2.0,2137.0
975000,"317 N Starfire Street, Anaheim, CA 92807",Anaheim,3.0,2.0,1602.0
349000,"600 W 3rd Street # C202, Santa Ana, CA 92701",Santa Ana,2.0,1.0,864.0
1138000,"12711 Trent Jones Lane, Tustin, CA 92782",Tustin,3.0,3.0,1848.0
349000,"600 W 3rd Street # A311, Santa Ana, CA 92701",Santa Ana,2.0,1.0,864.0
3528000,"8154 Scholarship, Irvine, CA 92612",Irvine,2.0,3.0,2131.0
685000,"8021 E Brightstar Place, Anaheim Hills, CA 92808",Anaheim Hills,2.0,2.0,1126.0
625000,"10411 Garden Grove Boulevard # 33, Garden Grove, CA 92843",Garden Grove,2.0,2.0,1000.0
608000,"3340 E Collins Avenue # 1, Orange, CA 92867",Orange,2.0,2.0,983.0
1798000,"8740 Hudson River Circle, Fountain Valley, CA 92708",Fountain Valley,5.0,3.0,2710.0
2350000,"31911 Crestwood Place, Laguna Beach, CA 92651",Laguna Beach,2.0,2.0,1233.0
2599900,"20 Villager, Irvine, CA 92602",Irvine,5.0,4.0,3614.0
850000,"9581 Decker Avenue, Anaheim, CA 92804",Anaheim,4.0,2.0,1288.0
75000,"24055 Paseo Del Lago # 609, Laguna Woods, CA 92637",Laguna Woods,1.0,1.0,625.0
799900,"616 Thames Way # 158, Costa Mesa, CA 92626",Costa Mesa,3.0,3.0,1484.0
3495000,"346 Y Place, Laguna Beach, CA 92651",Laguna Beach,3.0,3.0,2500.0
1550000,"491 S Paseo Estrella, Anaheim Hills, CA 92807",Anaheim Hills,4.0,3.0,2892.0
1369999,"2439 E Villareal Drive, Orange, CA 92867",Orange,4.0,2.0,1694.0
810000,"5281 Victoria Place, Westminster, CA 92683",Westminster,2.0,2.0,1350.0
1289000,"19586 Oakdale Lane, Huntington Beach, CA 92648",Huntington Beach,3.0,3.0,2125.0
1920000,"524 12th Street, Huntington Beach, CA 92648",Huntington Beach,3.0,3.0,1914.0
1470000,"15421 La Salle Lane, Huntington Beach, CA 92647",Huntington Beach,5.0,4.0,2444.0
2500000,"3921 Franklin Avenue, Fullerton, CA 92833",Fullerton,11.0,7.0,5278.0
1450000,"66 Autumn, Irvine, CA 92602",Irvine,4.0,4.0,2363.0
749000,"202 E Pomona Street, Santa Ana, CA 92707",Santa Ana,2.0,1.0,1300.0
1295000,"9602 Albacore Drive, Huntington Beach, CA 92646",Huntington Beach,3.0,2.0,1176.0
1370000,"5101 Robinwood Drive, Huntington Beach, CA 92649",Huntington Beach,4.0,2.0,1530.0
1649500,"36 Cerrero Court, Rancho Mission Viejo, CA 92694",Rancho Mission Viejo,3.0,3.0,2184.0
1099808,"4671 Sharon Drive, La Palma, CA 90623",La Palma,3.0,2.0,1800.0
609000,"17062 Pacific Coast # 101, Huntington Beach, CA 92649",Huntington Beach,1.0,1.0,668.0
799000,"1200 Pacific Coast # 325, Huntington Beach, CA 92648",Huntington Beach,1.0,1.0,781.0
749000,"8591 Greenleaf Avenue, Buena Park, CA 90620",Buena Park,3.0,2.0,1300.0
1569000,"1780 Anaheim Avenue, Costa Mesa, CA 92627",Costa Mesa,3.0,2.0,1600.0
1569000,"1780 Anaheim Avenue, Costa Mesa, CA 92627",Costa Mesa,3.0,2.0,1600.0
1249900,"2015 W Saint Anne Place, Santa Ana, CA 92704",Santa Ana,5.0,3.0,2185.0
2000000,"1301 Fox Drive, Fullerton, CA 92835",Fullerton,4.0,4.0,3884.0
849999,"828 S Sapphire Lane, Anaheim Hills, CA 92807",Anaheim Hills,3.0,3.0,1549.0
1889800,"1492 Voyager Drive, Tustin, CA 92782",Tustin,3.0,3.0,1924.0
965000,"44 Paseo Verde, San Clemente, CA 92673",San Clemente,3.0,3.0,1686.0
1799900,"28 Ambito Street, Rancho Mission Viejo, CA 92694",Rancho Mission Viejo,3.0,3.0,2121.0
415000,"2805 S Fairview Street # A, Santa Ana, CA 92704",Santa Ana,1.0,1.0,621.0
524999,"8777 Coral Springs Court # 1e, Huntington Beach, CA 92646",Huntington Beach,1.0,1.0,817.0
589800,"25885 Trabuco Road # 266, Lake Forest, CA 92630",Lake Forest,2.0,2.0,1190.0
926000,"13464 Savanna, Tustin, CA 92782",Tustin,2.0,2.0,1114.0
2600000,"4281 Uptown Newport Drive # 4, Newport Beach, CA 92660",Newport Beach,3.0,3.0,2052.0
598888,"8312 California Street, Buena Park, CA 90621",Buena Park,3.0,2.0,1119.0
1129800,"206 Marinella Aisle, Irvine, CA 92606",Irvine,3.0,3.0,1347.0
525000,"12712 Madrid Court # 24, Garden Grove, CA 92840",Garden Grove,1.0,1.0,915.0
1400000,"102 Okra, Irvine, CA 92618",Irvine,3.0,3.0,1659.0
1299000,"26602 Avenida Deseo, Mission Viejo, CA 92691",Mission Viejo,4.0,2.0,1941.0
749000,"1062 S Country Glen Way, Anaheim, CA 92808",Anaheim,3.0,3.0,1171.0
619000,"243 Oahu Way, Placentia, CA 92870",Placentia,2.0,3.0,1270.0
1888000,"159 Cadence, Irvine, CA 92618",Irvine,4.0,3.0,2732.0
785900,"13566 Cobblestone Lane, Westminster, CA 92683",Westminster,3.0,3.0,1378.0
399000,"3074 Via Serena # C, Laguna Woods, CA 92637",Laguna Woods,2.0,1.0,811.0
1199000,"19192 Echo Pass Road, Lake Forest, CA 92679",Lake Forest,4.0,3.0,1776.0
999000,"13341 Westlake Street, Garden Grove, CA 92843",Garden Grove,3.0,2.0,1119.0
550000,"16862 Pacific Coast # 201, Huntington Beach, CA 92649",Huntington Beach,1.0,1.0,560.0
5129000,"7 Ladbrook, Coto De Caza, CA 92679",Coto De Caza,6.0,7.0,5756.0
640000,"10212 Disney Circle, Huntington Beach, CA 92646",Huntington Beach,2.0,1.0,810.0
5999999,"8 Venezia, Newport Coast, CA 92657",Newport Coast,5.0,5.0,4126.0
1895000,"68 Foxtail Lane, Rancho Santa Margarita, CA 92679",Rancho Santa Margarita,5.0,3.0,2700.0
597000,"10487 W Briar Oaks Drive # C, Stanton, CA 90680",Stanton,2.0,2.0,1073.0
1400000,"4732 Lindstrom Avenue, Irvine, CA 92604",Irvine,3.0,2.0,1480.0
635000,"25055 Calle Playa # C, Laguna Niguel, CA 92677",Laguna Niguel,1.0,2.0,893.0
3895000,"1808 Newport Hills Drive, Newport Beach, CA 92660",Newport Beach,3.0,2.0,1838.0
769000,"1006 S Newhope Street, Santa Ana, CA 92704",Santa Ana,3.0,1.0,940.0
515500,"25671 Le Parc # 93, Lake Forest, CA 92630",Lake Forest,1.0,1.0,733.0
4470000,"4606 Cortland Drive, Corona Del Mar, CA 92625",Corona Del Mar,3.0,3.0,2242.0
1049000,"26746 Brandon, Mission Viejo, CA 92692",Mission Viejo,4.0,3.0,2041.0
695000,"271 Grace Avenue, La Habra, CA 90631",La Habra,3.0,1.0,1063.0
509000,"25691 View Pointe # 9b, Lake Forest, CA 92630",Lake Forest,2.0,1.0,957.0
1399000,"33461 Palo Alto Street, Dana Point, CA 92629",Dana Point,4.0,2.0,1560.0
1349900,"25315 Darlington, Mission Viejo, CA 92692",Mission Viejo,3.0,3.0,1965.0
748000,"8888 Lauderdale Court # 216g, Huntington Beach, CA 92646",Huntington Beach,2.0,2.0,1032.0
1199000,"1808 Cartlen Drive, Placentia, CA 92870",Placentia,3.0,2.0,1560.0
988000,"8566 Trinity Circle # 818e, Huntington Beach, CA 92646",Huntington Beach,3.0,2.0,1287.0
39000000,"63 Monarch Bay Drive, Dana Point, CA 92629",Dana Point,4.0,6.0,7717.0
1198000,"54 Melrose Drive, Mission Viejo, CA 92692",Mission Viejo,3.0,3.0,1754.0
1645000,"7232 Seaworthy Drive, Huntington Beach, CA 92648",Huntington Beach,4.0,4.0,2250.0
429000,"18242 Parkview Lane # 103, Huntington Beach, CA 92648",Huntington Beach,1.0,1.0,593.0
1388900,"201 Tall Oak, Irvine, CA 92603",Irvine,3.0,4.0,1775.0
890000,"1234 S Shawnee Drive, Santa Ana, CA 92704",Santa Ana,3.0,2.0,1223.0
2615000,"7 Altair, Irvine, CA 92603",Irvine,3.0,4.0,3069.0
8350000,"3 Weybridge Court, Newport Beach, CA 92660",Newport Beach,4.0,6.0,6500.0
909000,"1344 S Oriole Street, Anaheim, CA 92804",Anaheim,4.0,2.0,1237.0
794285,"1097 N Paradise Palm Lane, Anaheim, CA 92801",Anaheim,3.0,3.0,1420.0
839999,"2514 W Stanford Street, Santa Ana, CA 92704",Santa Ana,4.0,2.0,1500.0
450000,"25652 Rimgate Drive # 6g, Lake Forest, CA 92630",Lake Forest,1.0,1.0,625.0
1250000,"265 Follyhatch, Irvine, CA 92618",Irvine,3.0,2.0,1465.0
700000,"2335 Avenida Sevilla # C, Laguna Woods, CA 92637",Laguna Woods,2.0,2.0,1400.0
1690000,"27072 Cordero Lane, Mission Viejo, CA 92691",Mission Viejo,4.0,3.0,2478.0
18995000,"130 Monarch Bay Drive, Dana Point, CA 92629",Dana Point,6.0,7.0,6004.0
895900,"7449 Santa Domingo Way, Buena Park, CA 90620",Buena Park,3.0,2.0,1567.0
895000,"114 Monroe # 144, Irvine, CA 92620",Irvine,2.0,3.0,1112.0
688000,"2253 Martin # 107, Irvine, CA 92612",Irvine,1.0,1.0,952.0
1100000,"511 N Hampton Street, Anaheim, CA 92801",Anaheim,5.0,3.0,2398.0
899888,"6040 E Ladera Lane, Anaheim Hills, CA 92807",Anaheim Hills,2.0,3.0,1303.0
375000,"24055 Paseo Del Lago # 1402, Laguna Woods, CA 92637",Laguna Woods,2.0,2.0,1200.0
