Price,Address,City,Beds,Baths,Square Feet
"$ 3,388,000","1083 Tia Juana Street, Laguna Beach, CA 92651",Laguna Beach,3 bds,3 ba,1772 sqft
"$ 1,875,000","347 Las Riendas Drive, Fullerton, CA 92835",Fullerton,3 bds,3 ba,1986 sqft
"$ 2,198,000","125 E Avenida Cornelio, San Clemente, CA 92672",San Clemente,4 bds,3 ba,3175 sqft
"$ 595,000","16578 Montego Way, Tustin, CA 92780",Tustin,3 bds,2 ba,1188 sqft
"$ 595,000","16609 Montego Way, Tustin, CA 92780",Tustin,3 bds,2 ba,1188 sqft
"$ 1,195,000","1400 E Wilshire Avenue, Fullerton, CA 92831",Fullerton,4 bds,2 ba,1978 sqft
"$ 1,550,000","9109 Bestel Avenue, Garden Grove, CA 92844",Garden Grove,9 bds,6 ba,2967 sqft
"$ 2,299,000","1814 Tanager Drive, Costa Mesa, CA 92626",Costa Mesa,4 bds,3 ba,2616 sqft
"$ 543,400","2270 Via Puerta # N, Laguna Woods, CA 92637",Laguna Woods,2 bds,2 ba,1057 sqft
"$ 3,200,000","5072 Grandview Avenue, Yorba Linda, CA 92886",Yorba Linda,4 bds,4 ba,3682 sqft
"$ 1,795,000","9782 Silver Strand Drive, Huntington Beach, CA 92646",Huntington Beach,4 bds,3 ba,1900 sqft
"$ 999,900","7882 Yorkshire Avenue, Stanton, CA 90680",Stanton,4 bds,2 ba,1255 sqft
"$ 1,150,000","1410 S Urbana, Anaheim, CA 92805",Anaheim,4 bds,4 ba,1913 sqft
"$ 4,399,000","1453 Galaxy Drive, Newport Beach, CA 92660",Newport Beach,6 bds,5 ba,3610 sqft
"$ 2,750,000","23972 Flores Avenue, Laguna Niguel, CA 92677",Laguna Niguel,5 bds,4 ba,3560 sqft
"$ 620,000","25601 Indian Hill Lane # H, Laguna Hills, CA 92653",Laguna Hills,2 bds,2 ba,1013 sqft
"$ 1,575,000","588 Mc Fadden Street, Placentia, CA 92870",Placentia,4 bds,3 ba,2255 sqft
"$ 1,475,000","34152 Crystal Lantern Street, Dana Point, CA 92629",Dana Point,3 bds,2 ba,1556 sqft
"$ 1,700,000","128 Yellow Pine, Irvine, CA 92618",Irvine,4 bds,3 ba,1935 sqft
"$ 2,299,995","13 Cielo Azul, Mission Viejo, CA 92692",Mission Viejo,4 bds,4 ba,3273 sqft
"$ 1,219,990","3006 Morning Glory, Rancho Mission Viejo, CA 92694",Rancho Mission Viejo,4 bds,4 ba,1818 sqft
"$ 1,795,000","460 S Olive Street # F, Orange, CA 92866",Orange,7 bds,6 ba,4328 sqft
"$ 1,599,000","5538 Via La Mesa # B, Laguna Woods, CA 92637",Laguna Woods,3 bds,2 ba,1850 sqft
"$ 789,000","99 Rockwood # 50, Irvine, CA 92614",Irvine,2 bds,2 ba,917 sqft
"$ 1,150,000","14171 Wiltshire Street, Westminster, CA 92683",Westminster,3 bds,2 ba,1718 sqft
"$ 2,225,000","1068 Hampton Drive, Costa Mesa, CA 92627",Costa Mesa,4 bds,4 ba,2274 sqft
"$ 1,350,000","24440 Via Arriba Linda, Yorba Linda, CA 92887",Yorba Linda,4 bds,3 ba,2287 sqft
"$ 949,000","914 Toddy Street, Santa Ana, CA 92703",Santa Ana,3 bds,2 ba,1311 sqft
"$ 529,925","23556 Cambridge Road # 327, Yorba Linda, CA 92887",Yorba Linda,2 bds,2 ba,1080 sqft
"$ 1,300,000","1251 W Daffodil Avenue, La Habra, CA 90631",La Habra,4 bds,4 ba,2872 sqft
"$ 389,900","1001 E Camile Street # H1, Santa Ana, CA 92701",Santa Ana,2 bds,2 ba,870 sqft
"$ 1,499,988","18320 Timberlane Drive, Yorba Linda, CA 92886",Yorba Linda,4 bds,2 ba,2351 sqft
"$ 589,900","31432 Los Rios Street # 13, San Juan Capistrano, CA 92675",San Juan Capistrano,3 bds,2 ba,1141 sqft
"$ 1,575,000","2043 Federal Avenue, Costa Mesa, CA 92627",Costa Mesa,3 bds,3 ba,2013 sqft
"$ 2,595,000","923 Avenida Salvador, San Clemente, CA 92672",San Clemente,4 bds,3 ba,2842 sqft
"$ 1,975,000","110 N Belinda Circle, Anaheim, CA 92801",Anaheim,9 bds,5 ba,3687 sqft
"$ 845,000","735 Wingate Bay # 50, Costa Mesa, CA 92626",Costa Mesa,2 bds,2 ba,1131 sqft
"$ 3,650,000","4019 Channel Place, Newport Beach, CA 92663",Newport Beach,3 bds,2 ba,1465 sqft
"$ 544,988","965 S Idaho Street # 3, La Habra, CA 90631",La Habra,2 bds,2 ba,931 sqft
